ORF	NAME error	K	Pho2	Pho4	Co	Pho2B	Pho4B	CoB	p.error	p.K	p.Pho2	p.Pho4	p.Co	p.Pho2B	p.Pho4B	p.CoB
YLL026W	HSP104	0.2	0.6	0.1	0.0	0.1	0.0	0.1	-0.1	1.0E+00	3.9E-02	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YLR109W	AHP1	0.1	0.9	-0.3	-0.2	0.4	-0.2	-0.1	0.2	1.0E+00	5.0E-04	1.0E+00	1.0E+00	7.6E-01	1.0E+00	1.0E+00	9.8E-01
YLR136C	TIS11	-0.1	2.6	0.0	0.3	0.1	0.0	0.0	0.0	1.0E+00	0.0E+00	1.0E+00	9.8E-01	9.9E-01	1.0E+00	1.0E+00	1.0E+00
YLR142W	PUT1	0.1	1.2	0.3	0.1	-0.5	0.1	-0.1	0.2	1.0E+00	1.4E-12	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YLR214W	FRE1	0.0	2.2	-0.3	0.0	-0.2	0.2	-0.1	-0.2	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YLR303W	MET17	0.1	1.3	0.1	0.0	-0.4	-0.1	-0.1	0.1	1.0E+00	4.0E-13	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YLR327C	YLR327C	0.1	2.5	0.0	-0.4	-0.8	-0.2	0.2	0.0	1.0E+00	9.2E-14	9.9E-01	1.0E+00	1.0E+00	1.0E+00	9.7E-01	9.9E-01
YLR410W	VIP1	0.1	-0.2	-0.1	0.2	1.0	0.0	0.0	0.0	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.6E-08	1.0E+00	1.0E+00	1.0E+00
YLR438W	CAR2	-0.1	0.9	0.2	0.1	-0.5	0.2	0.0	0.2	1.0E+00	1.5E-04	1.0E+00	1.0E+00	1.0E+00	9.9E-01	1.0E+00	9.9E-01
YML123C	PHO84	-0.6	0.7	0.0	0.6	4.9	0.2	0.0	1.2	1.0E+00	2.2E-01	9.7E-01	3.6E-01	7.5E-15	9.2E-01	9.7E-01	6.6E-03
YML128C	MSC1	0.1	1.4	0.1	-0.2	-0.2	0.0	0.3	0.0	1.0E+00	2.7E-14	1.0E+00	1.0E+00	1.0E+00	1.0E+00	9.9E-01	1.0E+00
YMR011W	HXT2	-0.1	1.0	0.0	0.2	0.0	0.4	0.0	-0.2	1.0E+00	2.1E-11	1.0E+00	1.0E+00	1.0E+00	9.5E-01	1.0E+00	1.0E+00
YMR058W	FET3	0.1	1.8	-0.1	0.2	-0.3	0.2	-0.1	-0.1	1.0E+00	0.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YMR105C	PGM2	0.0	0.8	0.4	0.0	-0.3	-0.3	0.0	0.3	1.0E+00	1.2E-03	7.3E-01	1.0E+00	1.0E+00	1.0E+00	1.0E+00	9.4E-01
YMR173W	DDR48	0.0	0.6	0.0	0.0	0.3	0.1	0.0	0.0	1.0E+00	8.8E-02	1.0E+00	1.0E+00	9.3E-01	1.0E+00	1.0E+00	1.0E+00
YMR173W-A	YMR173W-A	0.0	0.9	0.0	0.0	0.3	0.2	0.1	0.0	1.0E+00	1.4E-06	1.0E+00	1.0E+00	9.8E-01	1.0E+00	1.0E+00	1.0E+00
YMR195W	ICY1	0.0	0.6	0.1	0.1	0.3	0.2	0.0	0.1	1.0E+00	1.1E-01	1.0E+00	1.0E+00	9.6E-01	1.0E+00	1.0E+00	1.0E+00
YMR251W	YMR251W	-0.1	1.4	0.2	0.1	-0.2	0.0	0.0	0.1	1.0E+00	9.9E-11	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YMR251W-A	HOR7	-0.5	1.1	0.1	-0.2	0.6	0.1	0.6	-0.1	1.0E+00	2.2E-04	9.9E-01	1.0E+00	3.6E-01	9.9E-01	2.5E-01	1.0E+00
YNL217W	YNL217W	0.1	0.1	0.0	0.2	0.7	0.2	-0.1	-0.1	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.1E-03	1.0E+00	1.0E+00	1.0E+00
YNR069C	YNR069C	0.1	0.6	0.2	-0.2	0.4	-0.3	0.1	0.1	1.0E+00	1.2E-01	9.9E-01	1.0E+00	7.9E-01	1.0E+00	1.0E+00	1.0E+00
