"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0D01914g",2,2,2,0,2,0,0,0,4,1,0,0,1
"CAGL0D01584g",5,8,16,12,4,4,5,4,12,5,2,2,1
"CAGL0D04356g",10,3,0,1,0,2,0,0,0,0,1,0,0
"CAGL0D02970g",3,2,2,0,0,0,3,2,1,0,0,0,1
"CAGL0D02882g",1,0,2,2,3,2,0,1,0,0,1,1,0
"CAGL0D05544g",1,1,4,1,0,1,2,0,3,0,0,0,0
"CAGL0D02904g",0,0,0,0,0,0,0,1,1,0,0,1,0
"CAGL0D03718g",4,4,1,3,3,3,2,1,1,0,0,16,11
"CAGL0D01628g",0,2,0,1,0,1,0,0,0,1,0,0,2
"CAGL0D06358r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0D03982g",3,2,13,2,1,1,18,1,17,19,19,1,3
"CAGL0D04394g",7,8,0,0,10,17,1,0,1,0,0,56,33
"CAGL0D05302g",0,0,0,0,1,1,0,0,0,1,0,0,3
"CAGL0D01738g",0,0,1,1,0,0,0,0,0,0,0,1,0
"CAGL0E03740g",0,0,0,0,0,3,0,0,0,0,0,1,0
"CAGL0E04312g",0,0,0,0,0,1,0,0,0,0,0,0,0
"CAGL0E03421g",189,206,202,106,193,135,192,116,158,77,96,131,136
"CAGL0E01705g",6,4,33,35,5,8,10,7,13,2,6,3,3
"CAGL0E01001g",335,252,414,277,336,290,300,169,301,179,193,160,172
"CAGL0C05401g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0C03597g",5,2,1,3,3,3,4,5,0,0,4,9,11
"CAGL0C01551g",0,0,0,2,1,2,0,1,0,0,0,0,0
"CAGL0C00341g",2,0,0,0,5,0,0,0,1,1,4,1,0
"CAGL0C03608g",3,1,3,1,0,4,3,0,0,0,2,1,1
"CAGL0C01815g",0,3,2,2,2,0,2,0,0,0,0,2,9
"CAGL0C01947g",4,4,1,1,1,0,3,2,0,1,0,0,0
"CAGL0B02137r",4,2,0,5,7,9,3,0,5,3,1,4,5
"CAGL0B02585g",3,2,2,7,6,4,7,3,3,2,3,11,13
"CAGL0B01881g",2,1,1,0,0,1,0,0,0,0,0,0,0
"CAGL0B04719g",1,1,0,0,1,0,1,0,2,0,0,0,0
"CAGL0B02453g",24,39,1,0,0,6,27,18,1,1,0,6,7
"CAGL0B02882g",1,3,4,4,2,2,5,1,6,3,0,9,6
"CAGL0E01881g",2,2,20,7,6,13,4,1,13,9,18,0,1
"CAGL0E01595g",0,0,4,0,1,0,1,0,0,0,0,1,0
"CAGL0E02079g",6,1,9,4,9,3,5,2,7,1,4,1,3
"CAGL0E04950g",21,26,34,18,18,31,25,13,27,18,15,10,6
"CAGL0E02211g",0,0,0,0,0,2,0,0,1,0,0,0,0
"CAGL0E02519g",87,88,70,62,104,102,98,40,53,14,10,42,53
"CAGL0E04840g",14,8,14,25,13,17,6,8,11,13,24,3,4
"CAGL0E03245g",4,3,3,11,0,9,0,5,4,1,1,1,0
"CAGL0E01089g",1,0,1,1,0,0,0,0,2,2,3,1,1
"CAGL0E06358g",14,8,23,9,8,25,7,7,7,3,3,3,0
"CAGL0E04906g",2,4,5,5,7,12,5,1,4,11,6,7,8
"CAGL0E02475g",2,1,4,1,3,2,2,2,6,0,0,2,2
"CAGL0E00539g",0,1,1,0,0,0,0,2,0,0,0,0,0
"CAGL0E05742g",0,0,2,0,0,0,0,1,1,0,0,0,0
"CAGL0E03784g",1,3,0,3,1,2,0,0,0,3,0,1,1
"CAGL0E06490g",2,4,8,1,4,2,8,2,4,1,2,2,1
"CAGL0E05126g",135,118,141,96,110,129,115,65,119,60,56,121,134
"CAGL0E02761g",6,4,10,3,7,5,8,4,3,1,5,4,4
"CAGL0E05544r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0G10153g",0,1,1,0,2,0,0,0,0,0,0,0,0
"CAGL0G05940g",5,5,5,4,3,8,2,4,9,2,2,1,0
"CAGL0G09977g",1,2,1,0,2,0,1,0,0,1,1,0,0
"CAGL0G03905g",0,0,0,0,0,2,0,0,0,0,0,0,2
"CAGL0G00374g",11,7,10,4,6,10,15,6,14,5,6,10,6
"CAGL0G09603g",3,0,1,4,2,4,3,1,2,1,2,5,4
"CAGL0G02629g",0,0,1,0,4,0,0,0,4,1,0,0,1
"CAGL0F00407g",6,1,3,0,6,0,2,1,5,1,2,2,0
"CAGL0F07051g",0,0,1,0,0,0,1,2,1,0,0,0,0
"CAGL0F03443g",0,0,0,0,0,0,0,0,0,0,0,1,0
"CAGL0G08932g",1,1,1,1,1,2,0,0,0,1,0,0,0
"CAGL0F06677g",323,308,290,215,275,270,414,205,250,123,139,296,255
"CAGL0F05203g",1,1,2,0,6,5,3,0,1,0,3,7,12
"CAGL0F03883g",2,1,1,0,3,1,0,0,1,0,1,0,0
"CAGL0F06523g",3,1,1,1,1,1,3,0,2,0,2,0,1
"CAGL0F07755g",35,21,37,29,26,33,42,25,40,17,22,15,19
"CAGL0F04015g",17,19,29,17,15,18,38,16,32,12,9,8,8
"CAGL0G06578g",0,0,1,0,1,0,0,1,0,0,0,0,0
"CAGL0F01529g",1,2,2,2,2,1,1,1,0,0,1,0,2
"CAGL0G07403g",2,1,2,3,1,0,1,1,0,0,0,0,0
"CAGL0G10043g",17,22,36,21,15,21,36,11,34,15,12,11,8
"CAGL0E03894g",64,77,69,72,70,68,70,29,48,22,34,130,114
"CAGL0E02607g",2,1,1,1,1,0,3,0,1,0,0,0,0
"CAGL0E02013g",4,4,5,1,2,3,5,1,2,0,1,1,3
"CAGL0E05478g",2,1,2,0,1,1,2,0,0,0,1,0,0
"CAGL0E05038g",1,3,3,0,2,3,1,1,2,0,0,0,3
"CAGL0E03069g",1,0,2,0,2,1,2,2,1,0,0,0,1
"CAGL0E05016g",6,3,4,5,8,3,4,3,10,0,4,0,0
"CAGL0E02937g",1,1,5,0,1,0,0,3,0,0,0,0,0
"CAGL0E06270g",160,152,178,160,130,153,163,101,143,69,84,208,173
"CAGL0E03311g",2,1,0,0,0,0,0,0,2,0,0,0,0
"CAGL0E00561g",38,33,40,57,28,62,39,44,28,56,47,84,66
"CAGL0E05940g",0,1,2,1,2,0,1,0,0,0,0,1,0
"CAGL0E01837g",1,0,0,1,0,0,0,0,1,0,0,0,0
"CAGL0E00407g",29,27,52,39,50,36,108,31,51,16,17,16,15
"CAGL0J10098g",12,14,25,16,28,23,7,7,10,10,9,12,17
"CAGL0G09295g",2,2,7,0,2,1,5,0,1,1,1,1,0
"CAGL0F06985g",0,0,0,0,1,1,2,0,0,1,1,0,0
"CAGL0I05940g",1,1,0,0,0,1,0,1,1,0,1,0,2
"CAGL0H05357g",3,6,6,4,11,5,10,3,3,0,0,7,7
"CAGL0J04730r",0,0,0,1,0,0,0,0,0,0,0,0,0
"CAGL0G03531g",6,2,14,8,12,5,6,3,9,1,2,3,2
"CAGL0F04851g",1,2,0,0,0,0,1,0,0,0,0,0,1
"CAGL0I00968g",11,3,13,4,10,11,6,9,5,10,14,8,7
"CAGL0H09130g",2,2,4,0,2,0,0,0,0,0,0,2,0
"CAGL0J11616g",18,13,28,17,20,25,29,9,21,13,12,36,39
"CAGL0G07084g",0,1,0,1,2,0,0,1,0,0,0,0,0
"CAGL0F00187g",3,2,6,2,3,3,5,1,4,7,7,1,5
"CAGL0I01914g",0,0,1,0,0,0,1,0,0,0,0,0,0
"CAGL0H07139g",1,0,0,0,1,0,0,0,0,0,0,0,1
"CAGL0G06336g",9,6,7,1,2,4,2,1,10,4,4,3,8
"CAGL0F03113g",0,1,2,0,0,1,1,0,0,0,0,1,0
"CAGL0I10967g",4,2,2,2,3,3,3,2,2,1,0,1,1
"CAGL0H05445g",3,4,3,1,2,8,4,2,5,2,5,3,0
"CAGL0G03619g",7,10,5,4,9,1,6,1,4,5,2,13,26
"CAGL0F01419g",4,2,7,7,2,3,11,4,1,5,2,2,3
"CAGL0I10428g",1,0,3,0,0,1,1,1,1,1,0,1,1
"CAGL0H07557g",2,0,3,0,1,1,1,0,1,0,0,1,1
"CAGL0G06226g",1,1,5,2,3,2,5,2,1,1,1,1,2
"CAGL0F08767g",1,0,0,0,2,0,0,0,0,0,1,0,0
"CAGL0I02574g",0,0,0,0,0,0,0,1,0,0,0,0,0
"CAGL0H08459g",1,1,5,3,1,2,1,4,5,0,3,2,1
"CAGL0G08195g",0,0,0,0,0,0,1,0,0,0,0,0,0
"CAGL0F02739g",0,0,0,0,0,0,0,0,1,2,1,2,3
"CAGL0I08855g",7,6,5,9,4,9,8,3,6,2,4,12,7
"CAGL0H04983g",9,15,15,16,10,13,38,8,29,16,12,15,7
"CAGL0G09845g",33,33,51,44,33,42,56,16,43,21,28,9,10
"CAGL0F01925g",4,1,2,1,2,1,0,2,0,2,1,1,1
