"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0L06666g",1126,257,1379,1597,844,1338,214,667,157,481,507,716,704
"CAGL0L05544g",1317,1073,1630,1293,1388,1359,1360,970,1288,835,998,575,630
"CAGL0L04202g",135,123,142,80,127,93,125,65,118,45,40,88,63
"CAGL0L10450g",1210,1379,1323,912,1200,1049,1404,730,1167,487,572,1042,938
"CAGL0L00385g",1024,735,1091,793,955,921,987,571,931,566,617,352,379
"CAGL0L06820g",1129,1009,970,786,835,903,1138,760,773,445,553,2880,2924
"CAGL0L01771g",525,663,289,306,1064,1226,569,446,686,127,129,673,743
"CAGL0L01705g",650,796,696,428,702,631,738,391,516,331,351,800,775
"CAGL0L12496g",5,0,2,5,3,0,3,1,0,3,2,3,1
"CAGL0L03223g",377,323,370,297,415,312,445,261,323,171,187,319,288
"CAGL0L08068g",1623,1214,1581,1283,1388,1422,1622,975,1339,1027,1225,607,567
"CAGL0L11968g",340,266,391,310,353,356,419,310,411,145,184,195,169
"CAGL0L04906r",0,1,0,0,0,0,0,0,0,0,1,0,0
"CAGL0L09273g",95,83,37,33,76,93,81,30,33,15,20,450,355
"CAGL0L09713g",3243,2679,3604,2679,2324,2428,3248,2173,2236,1656,1886,4419,4248
"CAGL0L07106g",619,580,724,548,607,671,659,452,624,290,323,600,582
"CAGL0L00319g",4596,3808,6173,3596,5139,3745,4831,2280,5438,1681,1891,1350,1381
"CAGL0L07920g",342,335,430,259,353,306,279,129,321,150,198,453,395
"CAGL0L07260g",313,226,260,205,299,346,217,192,213,165,155,296,343
"CAGL0L08206g",1927,1033,2557,1788,2037,1657,1735,1410,1818,962,1154,206,158
"CAGL0L11506g",5507,3920,7367,4543,6898,5402,4988,2938,5451,2048,2239,813,696
"CAGL0L05764r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0L07436g",1975,1659,2404,1940,2012,2173,1,2,1,975,979,1647,1541
"CAGL0L03894g",4,1,2,3,7,2,4,3,6,2,2,3,4
"CAGL0L03333g",449,379,411,349,510,487,464,294,377,227,279,270,218
"CAGL0L11264g",1167,968,1484,902,1234,1060,1239,773,1171,451,485,301,296
"CAGL0L07744g",775,807,465,331,685,669,690,332,383,185,169,2275,2178
"CAGL0L06160g",4057,2697,4970,3752,3357,3430,3895,2890,3568,1528,1766,3787,3523
"CAGL0L10802g",15,11,19,14,14,17,10,6,10,22,18,33,43
"CAGL0L07854g",2215,2027,2404,1725,2039,1993,2096,1103,1935,881,942,1621,1533
"CAGL0L04466g",2076,1991,2255,1381,2052,1803,2283,1224,1826,755,761,1732,1603
"CAGL0L05940g",1136,784,1256,1103,1116,1300,1218,948,1086,619,727,723,645
"CAGL0L00935g",216,155,241,166,232,157,199,104,215,103,99,106,108
"CAGL0L08316g",267,251,271,264,301,289,313,241,324,167,163,236,239
"CAGL0L08800g",2466,2379,2580,1837,2159,2098,2852,1684,1971,1202,1364,2163,2215
"CAGL0L02035g",4051,3127,4793,3533,4970,4675,3612,2731,4076,1788,1900,2049,1921
"CAGL0L01903g",1711,1301,1916,1298,1598,1592,1707,1176,1531,672,720,909,897
"CAGL0M09911g",965,732,1161,902,1039,968,1009,722,943,594,615,330,341
"CAGL0M01936g",1062,955,1125,667,1270,981,1026,454,834,330,334,1264,1196
"CAGL0M08778g",37,24,48,37,32,52,32,17,59,26,33,30,38
